sequence,method_id,readable_name,family,comparison_type,audit_status,version,mask_protocol,baseline,next_decision,failure_reason,JM_or_mask_JM,JR,F,PSNR_proxy,PSNR_synthetic,SSIM,n_frames,routing_or_prompt,quality_note,metrics_source,mask_frames,masked_in,inpaint_out,script_path,config_path,deliverable_dir,plain_explanation,current_takeaway
horsejump-low,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.0002,0.0000,0.0072,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
koala,vggt4d_sam3_refine_v4_mask_only,VGGT4D + SAM3 refine v4,direction_b,mask_only,superseded,legacy,,,,,0.9441,1.0000,0.1994,,,,,centroid,中间或旧版结果：可追溯，但引用时需要看 experiment_card。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v4_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v4/vggt4d/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/koala/vggt4d_sam3_refine_v4_mask_only,这是 refine 的较成熟版本，已经比早期版本稳很多。,它接近可用，但最终汇总主要还是用 v5。
tennis,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.8735,1.0000,0.3420,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/tennis,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
bmx-trees,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.6887,0.8500,0.2887,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/bmx-trees,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
blackswan,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.9558,1.0000,0.3543,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/blackswan,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
car-shadow,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.9785,1.0000,0.5069,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/car-shadow,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
horsejump-low,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.9331,1.0000,0.3721,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/horsejump-low,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
koala,vggt4d_sam3_refine_v5_mask_only,VGGT4D + SAM3 refine v5,direction_b,mask_only,stable,legacy,,,,,0.9373,1.0000,0.1880,,,,,bbox,只看 mask，不应直接和 inpaint 视频指标混排。,/home/jli657/my_storage2_1T/project3/eval/direction_b_sam3_refined_v5_results.csv,/data3/jli657/project3/part3/outputs/direction_b/sam3_refined_v5/vggt4d/koala,,,/data3/jli657/project3/part3/direction_b/run_direction_b_sam3_refine.py,,/data3/jli657/project3/part3/part3_deliverables/koala/vggt4d_sam3_refine_v5_mask_only,这是当前 Direction B 最终保留的 refine 版本：先自动发现动态区域，再用 SAM3 把边缘精修。,这是 Direction B 当前最有说服力的正向结果。
tennis,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,34.9782,8.3517,0.9298,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary_gtmask.csv,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/tennis,/data3/jli657/project3/part3/results/tennis/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
bmx-trees,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/bmx-trees,/data3/jli657/project3/part3/results/bmx-trees/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
blackswan,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/blackswan,/data3/jli657/project3/part3/results/blackswan/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/blackswan/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
koala,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/koala,/data3/jli657/project3/part3/results/koala/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/koala/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
horsejump-low,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/horsejump-low,/data3/jli657/project3/part3/results/horsejump-low/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/horsejump-low/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
car-shadow,pure_propainter_gtmask,纯 ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,reference,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/car-shadow,/data3/jli657/project3/part3/results/car-shadow/direction_c/pure_propainter_gtmask/masked_in.mp4,/data3/jli657/project3/part3/results/car-shadow/direction_c/pure_propainter_gtmask/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_propainter_gtmask.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/pure_propainter_gtmask,所有 DAVIS 序列统一使用 DAVIS annotation / GT mask 作为输入，只比较 ProPainter 自己的修复能力。这是公平 inpaint-only 对比的基线。,这是 GT mask 协议下 inpaint-only 的基准。
tennis,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,37.5066,31.8185,0.9726,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary_gtmask.csv,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/tennis,/data3/jli657/project3/part3/results/tennis/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
bmx-trees,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/bmx-trees,/data3/jli657/project3/part3/results/bmx-trees/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
blackswan,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/blackswan,/data3/jli657/project3/part3/results/blackswan/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/blackswan/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
koala,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/koala,/data3/jli657/project3/part3/results/koala/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/koala/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
horsejump-low,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/horsejump-low,/data3/jli657/project3/part3/results/horsejump-low/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/horsejump-low/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
car-shadow,sdxl_kf5_gtmask_propainter,SDXL kf5 + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/car-shadow,/data3/jli657/project3/part3/results/car-shadow/direction_c/sdxl_kf5_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/car-shadow/direction_c/sdxl_kf5_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/sdxl_kf5_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 SDXL 修关键帧，再让 ProPainter 传播到全视频。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 SDXL 的表现，可直接与 pure/LaMa 做工具层面公平对比。
tennis,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,37.6036,31.8331,0.9720,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary_gtmask.csv,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/tennis,/data3/jli657/project3/part3/results/tennis/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
bmx-trees,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/bmx-trees,/data3/jli657/project3/part3/results/bmx-trees/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
blackswan,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/blackswan,/data3/jli657/project3/part3/results/blackswan/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/blackswan/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
koala,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/koala,/data3/jli657/project3/part3/results/koala/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/koala/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
horsejump-low,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/horsejump-low,/data3/jli657/project3/part3/results/horsejump-low/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/horsejump-low/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
car-shadow,lama_gtmask_propainter,LaMa + ProPainter（DAVIS GT mask 统一口径）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/home/jli657/shared_data/project3/DAVIS/Annotations/480p/car-shadow,/data3/jli657/project3/part3/results/car-shadow/direction_c/lama_gtmask_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/car-shadow/direction_c/lama_gtmask_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase3_lama_all7.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/lama_gtmask_propainter,DAVIS 序列统一使用 DAVIS GT mask；先用 LaMa 修关键区域，再交给 ProPainter 做时序传播。与 pure_propainter_gtmask 做公平对比。,GT mask 协议下 LaMa 的表现，尤其适合和 SDXL 做工具层面公平对比。
tennis,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,34.8786,8.4165,nan,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary.csv,/data3/jli657/project3/part3/results/tennis/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/pure_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/pure_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
bmx-trees,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/bmx-trees/mask_frames,/data3/jli657/project3/part3/results/bmx-trees/direction_c/pure_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/pure_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
blackswan,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/blackswan/mask_frames,,,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/blackswan/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
car-shadow,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/car-shadow/mask_frames,,,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/car-shadow/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
horsejump-low,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/horsejump-low/mask_frames,,,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/horsejump-low/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
koala,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/koala/mask_frames,/data3/jli657/project3/part3/results/koala/direction_c/pure_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/koala/direction_c/pure_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/koala/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
wild_video-1person,pure_propainter_fixed_mask,纯 ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/wild_video-1person/mask_frames,,,/data3/jli657/project3/part3/eval/evaluate_all.py,,/data3/jli657/project3/part3/part3_deliverables/wild_video-1person/pure_propainter_fixed_mask,这里固定的是同一套 mask，只比较 ProPainter 自己的修复能力。,它是 inpaint-only 的强基线，经常是最难被超过的一条。
tennis,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,34.2062,9.1275,nan,70,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,/data3/jli657/project3/part3/results/evaluation_summary.csv,/data3/jli657/project3/part3/results/tennis/mask_frames,/data3/jli657/project3/part3/results/tennis/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/tennis/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/tennis/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
bmx-trees,sdxl_kf5_propainter_fixed_mask,SDXL kf5 + ProPainter（旧版 SAM3 mask，legacy）,direction_c,inpaint_only,stable,legacy,,,,,,,,,,,,,固定 mask 比修复工具，重点看 masked_in 与 inpaint_out。,,/data3/jli657/project3/part3/results/bmx-trees/mask_frames,/data3/jli657/project3/part3/results/bmx-trees/direction_c/sdxl_kf5_propainter/masked_in.mp4,/data3/jli657/project3/part3/results/bmx-trees/direction_c/sdxl_kf5_propainter/inpaint_out.mp4,/data3/jli657/project3/part3/inpainting/run_phase2_sdxl_all7.py,,/data3/jli657/project3/part3/part3_deliverables/bmx-trees/sdxl_kf5_propainter_fixed_mask,这是先用 SDXL 修关键帧，再让 ProPainter 传播到全视频的路线。,它在部分序列有视觉提升，但不是每个序列都比纯 ProPainter 稳。
